date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:35	90491/90491	---MCZ	200	added ('OK')	text/html	etag:W/%225ab38200-1617b%22	https://besibaja.neocities.org/	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/index.html	(from )
15:02:36	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225aa906ff-10f%22	https://besibaja.neocities.org/robots.txt		(from )
15:02:37	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jun%202022%2006:02:37%20GMT	https://besibaja.neocities.org/feed	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/feed	(from https://besibaja.neocities.org/)
15:02:39	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2014%20Jun%202022%2006:02:38%20GMT	https://besibaja.neocities.org/feed/	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/feed/index.html	(from https://besibaja.neocities.org/)
15:02:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jun%202022%2006:02:38%20GMT	https://besibaja.neocities.org/comments/feed	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/comments/feed	(from https://besibaja.neocities.org/)
15:02:40	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2014%20Jun%202022%2006:02:40%20GMT	https://besibaja.neocities.org/comments/feed/	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/comments/feed/index.html	(from https://besibaja.neocities.org/)
15:02:40	1712/1712	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1a2-6b0%22	https://besibaja.neocities.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/contact-form-7/includes/css/styles5597.css	(from https://besibaja.neocities.org/)
15:02:42	12711/12711	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1b3-31a7%22	https://besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/public.css?ver=4.3.5	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/public8f76.css	(from https://besibaja.neocities.org/)
15:02:43	30863/30863	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1b3-788f%22	https://besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome.css?ver=4.3.5	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome8f76.css	(from https://besibaja.neocities.org/)
15:02:45	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1ad-11a43%22	https://besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate.css?ver=4.3.5	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate8f76.css	(from https://besibaja.neocities.org/)
15:02:46	7789/7789	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1b9-1e6d%22	https://besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup.css?ver=4.3.5	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup8f76.css	(from https://besibaja.neocities.org/)
15:02:47	287/287	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1a2-11f%22	https://besibaja.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontend.css?ver=4.9.4	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontendcbf4.css	(from https://besibaja.neocities.org/)
15:02:48	1315/1315	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c19e-523%22	https://besibaja.neocities.org/wp-content/plugins/siteorigin-panels/css/front-flex.css?ver=2.6.2	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/siteorigin-panels/css/front-flex61da.css	(from https://besibaja.neocities.org/)
15:02:49	1802/1802	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c1d2-70a%22	https://besibaja.neocities.org/wp-content/plugins/so-widgets-bundle/widgets/features/css/style.css?ver=1.11.4	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/plugins/so-widgets-bundle/widgets/features/css/stylee899.css	(from https://besibaja.neocities.org/)
15:02:50	4498/4498	---MCZ	200	added ('OK')	text/css	etag:W/%225ab3c32f-1192%22	https://besibaja.neocities.org/wp-content/uploads/siteorigin-widgets/sow-features-default-9a7ee9ffc3bd.css?ver=4.9.4	C:/My%20Web%20Sites/besibaja.neocities.org/besibaja.neocities.org/wp-content/uploads/siteorigin-widgets/sow-features-default-9a7ee9ffc3bdcbf4.css	(from https://besibaja.neocities.org/)
